科目名,年度,クォーター,時間割コード,テーマ
グローバル文化特別演習Ｂ,2020,第4クォーター,4HA03,卒業論文執筆に向けテーマを設定し、調査収集した資料の分析や考察をさらに深める。受講生は、先行研究をよくふまえ、従来の研究に無いオリジナルな資料、視点を獲得して論文、レポート執筆の準備をする。
グローバル文化特別演習Ｂ,2020,第4クォーター,4HA05,卒業論文執筆に向けて立てたテーマを具体的な論述へと進展させる。ひとりよがりにならないよう先行研究・関連分野研究を把握する。査可能な資料収集についての計画をたて、分析する。これらをふまえ、資料、視点を獲得して論文、レポート執筆の準備をする。
グローバル文化特別演習Ｂ,2020,第4クォーター,4HA10,学生それぞれが自分の卒業論文のテーマについて、理解を深め、独自の研究の可能性を探る。
グローバル文化特別演習Ｂ,2020,第4クォーター,4HA22,・卒論の作成指導を行う。
グローバル文化特別演習Ｂ,2020,第4クォーター,4HA23,卒業論文作成のための指導を行います。
グローバル文化特別演習Ｂ,2020,第4クォーター,4HA25,卒業論文完成へ向け、準備を進めるための指導を行う。
グローバル文化特別演習Ｂ,2020,第4クォーター,4HA26,20世紀美術の諸相20世紀美術を網羅する著書Art Scince 1900の日本語訳を読み、現代美術で問題とされているテーマを学びます。
グローバル文化特別演習Ｂ,2020,第4クォーター,4HA27,卒業論文作成に向けての指導を行う
グローバル文化特別演習Ｂ,2020,第4クォーター,4HA33,今年度から卒論作成に向けた演習が３回生後期からスタートすることになったので、この３回生後期の演習では卒論作成に向けて、主に①研究方法論の指導と②個人発表による卒論テーマの指導の両方を行ってゆきたい。
グローバル文化特別演習Ｂ,2020,第4クォーター,4HA55,卒業論文を執筆する方法（テーマ設定、先行研究のリサーチ、論の構成、分析、引用の仕方等）を身に付けます。並行して自分の研究テーマに沿う先行研究を選び、書評を書きます。
発達コミュニティ演習１,2020,第3クォーター,3H504,アクティブライフに関する研究テーマを各自が設定し，そのテーマに関する文献を講読・論議して，研究方法やデータ処理法なども含めて検討することにより，卒業研究を行うための基礎的知識を獲得することを目的とする．
発達コミュニティ演習２,2020,第4クォーター,4H504,身体運動制御に関する研究テーマを各自が設定し，そのテーマに関する文献を講読･論議して，実験方法やデータ処理法なども含めて検討することによって，卒業研究を行うための基礎知識を獲得することを目的とする．
数学科教育論Ａ１,2020,第1クォーター,1H246,数学的な見方・考え方を働かせ、学習した内容を生活や学習で活用するための「数学的に考える資質・能力」を育成できる教員の養成をテーマとし、数学教育の今日的課題、中学校及び高等学校の数学科の目標について学ぶとともに、既習事項の活用及び生徒のつまずきという観点から、数学科の指導内容及び数学的活動を通した指導方法について学ぶ。
グローバル社会動態基礎演習Ｃ,2020,第1クォーター,1H399,論文作成に必要な文献渉猟のための読解力と論理構成能力、事例収集能力と分析能力の涵養。
健康運動科学１,2020,第1クォーター,1H548,本講義では、運動処方の基礎的概念から健康増進や生活習慣病の予防・改善における身体活動・運動の重要性、運動処方の進め方、維持管理法について解説する。実際の運動指導現場における実践報告や国内外の運動処方分野における最新の研究などを交えて、科学的で信頼性のある運動処方理論についてわかりやすく解説する。
初等算数科教育論１,2020,第1クォーター,1H711,本講義では、授業構想力・実践力等の基盤となる算数観、算数授業観を養うため、算数教育の目標と歴史、算数的活動、数学的な考え方、現行の学習指導要領について理解し、実際に授業を行うための基礎となる知識や考え方等を身に付けることを目的とする。
数学科教育論Ａ２,2020,第2クォーター,2H246,実践的な指導力を有した数学科を担当する教員の養成をテーマとし、数学科における評価方法について学ぶとともに、数学科の目標・指導内容・指導方法・評価方法に関する基礎的・基本的な知識を活用して数学科学習指導案の作成と模擬授業を行い、指導と評価の一体化について学ぶ。
グローバル社会動態基礎演習Ｄ,2020,第2クォーター,2H399,論文作成に必要な文献渉猟のための読解力と論理構成能力、事例収集能力と分析能力の涵養。
健康運動科学２,2020,第2クォーター,2H548,本講義では、運動処方の基礎的概念から健康増進や生活習慣病の予防・改善における身体活動・運動の重要性、運動処方の進め方、維持管理法について解説する。実際の運動指導現場における実践報告や国内外の運動処方分野における最新の研究などを交えて、科学的で信頼性のある運動処方理論についてわかりやすく解説する。
環境社会学,2020,第2クォーター,2H610,自然と人間の本質的な関係に焦点を当て、今日のエコロジー的危機を克服する人間のあり方を根底的に解明する。特に自然と社会、個人と社会、時間と空間、主観と客観、そして内なる環境としてのゲノムとその人為的操作等を素材として現代社会に生きる人間と自然の共生の可能性を考察する。
環境モデル解析Ｂ,2020,第2クォーター,2H620,フーリエ級数、フーリエ変換、偏微分方程式、ラプラス変換を学ぶ。これらは科学、工学などの様々な分野において利用される有用な道具であり、その利用法を習得することを目標とする。
初等算数科教育論２,2020,第2クォーター,2H711,授業づくりの理論と実践についてその基本を学び、学んだことをもとに教材研究・指導案作成を行うことを通して、実践的な力をつけることを目的とする。
深層心理学１,2020,第3クォーター,3H542,フロイトと並び立つ「無意識」の発見者・ユングの心理学について学ぶ。ユングの基本的な思想を解説し、ユングの心理学を通じて、どのように人の心の奥にあるものを理解するかを学ぶ。
環境基礎物理学Ｂ,2020,第3クォーター,3H611,物質の構成要素（原子・分子）が多数集まった時に，全体として（巨視的に）どのように振る舞うかを理解するための統計力学の手法と，それを用いて巨視的な熱理論（熱力学）や巨視的な物質の諸現象（相転移など）がどのように理解できるかを学ぶ．
環境資源植物科学,2020,第3クォーター,3H613,人は植物資源を積極的に利用することで、農業、医療、環境保全に大きく貢献している。人間生活の中でバイオテクノロジーの利用に関連する事項を取り上げ、それらの現状を分析し、理解する。また、将来的にどのような発展が人や環境にとって望ましい姿なのかを考え議論する。講義で取り上げるテーマ：植物ゲノム、染色体、遺伝子の研究、植物の環境に対するストレス応答、植物バイオテクノロジー技術の進展、遺伝子組換え植物の功罪
環境高分子化学,2020,第3クォーター,3H615,授業のテーマ：身の回りにある高分子化合物と環境との関わりについて学ぶ。具体的には高分子に特有な性質を理解し、環境調和型高分子の分類や特性、リサイクルの現状等について学ぶ。
深層心理学２,2020,第4クォーター,4H542,2に引き続いて、フロイトと並び立つ「無意識」の発見者・ユングの心理学について学ぶ。ユングの基本的な思想を解説し、ユングの心理学を通じて、どのように人の心の奥にあるものを理解するかを学ぶ。
博物館概論１,2020,第1クォーター,1H264,学芸員とは、長年にわたり守り伝えられてきた資料（＝モノ）と市民をつなぐ専門職である。博物館概論では博物館学、博物館学芸員養成課程への導入として、博物館の使命や機能、学芸員の仕事などについて学ぶ。また、神戸市及び近隣にある博物館の歴史と特色を学ぶことで、地域の博物館への理解を深めるとともに、その役割と意義について考える。
グローバル文化形成発展演習Ｃ,2020,第1クォーター,1H406,「芸能、祭り、イベントのフィールドワークと記述」この授業では、様々な地域の芸能、祭り、イベント等の文化的事象、伝承の形成、変容、観光との関連、地域活性化などの問題に取り組むための現地調査や分析の視点を学ぶ。
臨床投影法１,2020,第1クォーター,1H540,臨床心理アセスメントで用いられる基本的な心理検査について理解を深める。主に投影法、描画法、性格検査などを取り上げる。
臨床投影法１（心理的アセスメント１）,2020,第1クォーター,1H541,臨床心理アセスメントで用いられる基本的な心理検査について理解を深める。主に投影法、描画法、性格検査などを取り上げる。
分子生物学,2020,前期,1H616,光合成を題材に、遺伝子やタンパク質などの生体内分子の働きや生物の進化、生命活動、環境に対する役割・応答・生存戦略を分子生物学学的視点から講述する。また、生物の光合成機能を環境問題や我々の生活に活用する最先端技術を解説する。
教育行政学（幼・小）１,2020,第1クォーター,1H708,「教育行政における共同統治」：教育ガバナンスと教育委員会のあり方を探る
障害共生教育論１,2020,第1クォーター,1H735,障害の概念、障害者支援のあり方をめぐる世界的動向を学び、インクルーシヴな社会をめざす生涯学習の観点から、障害者と社会との関係を議論する。
障害児保育演習１,2020,第1クォーター,1H759,障害児保育実践記録から障害児の発達と保育を考える
グローバル文化特別演習Ｃ,2020,第1クォーター,1HA13,グローバル文化特別演習A・Bにおいてなされた研究をさらに発展させるかたちで、学生個々人の口頭発表やレポート作成を行ってもらいながら、卒業論文の作成に向けた指導を行います。
グローバル文化特別演習Ｃ,2020,第1クォーター,1HA15,履修した学生が高い学問的水準の卒業論文を完成することができるようサポートすることを本演習の目的とする。
グローバル文化特別演習Ｃ,2020,第1クォーター,1HA30,卒業論文の執筆を見据えつつ、卒業研究を進める上での文献渉猟、読解、分析、文章作成の作法の基本を学んで、研究を進めていくための基礎的な力を身につけるだけでなく、自身の研究や分析を批判的に検証し、修正する能力を身につけること。
博物館概論２,2020,第2クォーター,2H264,学芸員とは、長年にわたり守り伝えられてきた資料（＝モノ）と市民をつなぐ専門職である。博物館概論では博物館学、博物館学芸員養成課程への導入として、博物館の使命や機能、学芸員の仕事などについて学ぶ。また、神戸市及び近隣にある博物館の歴史と特色を学ぶことで、地域の博物館への理解を深めるとともに、その役割と意義について考える。
グローバル文化形成発展演習Ｄ,2020,第2クォーター,2H406,「芸能とエコロジー」この授業では、芸能を支える環境を人的環境と物質的環境の二つの側面から考える。具体的な事例として、兵庫県淡路島で伝承されている淡路人形浄瑠璃の伝承者の問題と、良質な雅楽の篳篥の葦舌を産出する大阪府の鵜殿という地域の環境保全の問題をとりあげる。
臨床投影法２,2020,第2クォーター,2H540,臨床心理アセスメントで用いられる基本的な心理検査について理解を深める。主に投影法、描画法、性格検査などを取り上げる。
臨床投影法２（心理的アセスメント２）,2020,第2クォーター,2H541,臨床心理アセスメントで用いられる基本的な心理検査について理解を深める。主に投影法、描画法、性格検査などを取り上げる。
環境物理学Ａ,2020,第2クォーター,2H602,環境の諸現象の科学的理解や、環境に関わる課題解決の基礎力を修得することを目的として、環境科学の基礎となる幅広い物理学諸領域の概念、手法などを学ぶ。
環境形成科学演習２,2020,第2クォーター,2H684,卒業研究（4年次）において，これまでに習得した専門知識を十分に活用できるようなスキルを身につける。
教育行政学（幼・小）２,2020,第2クォーター,2H708,｢人格発達の権利の保障（発達保障）｣:発達保障に資する教育行政を探る。
障害共生教育論２,2020,第2クォーター,2H735,障害の概念、障害者支援のあり方をめぐる世界的動向を学び、インクルーシヴな社会をめざす生涯学習の観点から、障害者と社会との関係を議論する。
英語科実践研究２,2020,第2クォーター,2H747,小学校英語教育（「外国語」「外国語活動」）の理論と指導法を踏まえ、CLILやCBIといった実践的な指導法を理解し、活具体的な活動を実践的な指導力を身に付ける
障害児保育演習２,2020,第2クォーター,2H759,障害児保育実践の現場から，障害児の発達と保育を考える。
グローバル文化特別演習Ｄ,2020,第2クォーター,2HA13,グローバル文化特別演習Cにおける研究を基盤とし、口頭発表やとレポート作成を行ってもらいながら、卒業論文の原案が執筆できるよう指導します。
グローバル文化特別演習Ｄ,2020,第2クォーター,2HA15,履修した学生が高い学問的水準の卒業論文を完成することができるようサポートすることを本演習の目的とする。
グローバル文化特別演習Ｄ,2020,第2クォーター,2HA30,卒業論文の執筆を見据えつつ、卒業研究を進める上での文献渉猟、読解、分析、文章作成の作法の基本を学んで、研究を進めていくための基礎的な力を身につけるだけでなく、自身の研究や分析を批判的に検証し、修正する能力を身につけること。
数学科教育論Ｄ１,2020,第3クォーター,3H249,近年の中等数学教育においては、コンピュータの適切な活用が求められている。本授業では、数式処理ソフトウェアを用いて、中等数学の各科目の理解を促す教材作成を学ぶ。特に、配布資料の作成や授業内提示教材（特にインタラクティブに操作可能な教材）の作成方法を扱う。
現代ＩＴ入門Ａ,2020,第3クォーター,3H325,"情報技術(Information Technology,IT)は我々の身の回り、産業、社会など様々な分野に急速に浸透してきている。急速に発達する技術が我々の生活にも大きな変革を及ぼそうとしているのである。コンピュータ技術に基づいたデジタル情報で表現されているマルチメディアの構造や取り扱い方を学び、それらが我々の世界にどのような影響を与えるかを考えることをテーマとする。"
英米テクスト文化論Ａ,2020,第3クォーター,3H338,英米の文化は、英語世界の拡大とともに世界に広く浸透しグローバルなものとなっている一方で、容易には理解しがたい異文化としての側面も持っている。この授業では、英米文化の「粋」ともいうべき文学作品について、16世紀から「ロマンティシズム」の時代までを概観する。
比較政策論Ａ,2020,第3クォーター,3H358,従来、政策は国民国家単位で検討され、立案されるのが一般的だったが、グローバル化の進展による越境的な課題の急増は一国単位での政策実施の有効性を著しく低下させた。世界各国は政策実践を相互に参照し、協調しながら、自国の歴史的・制度的背景に適合する政策を選択することを求められている。本科目では、先進諸国が共通して直面している政策課題とそれに対する各国の対応について、Ｇ８諸国の政策実践を比較しながら検討する。具体的には財政再建、通商政策、産業政策、地球温暖化対策、地方分権、移民・外国人に対する対応、少子・高齢化、格差是正、犯罪・テロ対策、教育改革、都市再生、雇用政策、農業・食糧政策、エネルギー政策、男女共同参画などの分野を取り上げます。
音楽文化史１,2020,第3クォーター,3H526,音楽芸術の表現様式の変遷とその社会的、文化史的な背景と意味を考察していく。目標は、この考察を通じて、音楽という時間芸術を多角的に「聴き取る」方法を学び、今現在自分が対峙している音楽を作品としてのみならず、「文化」として捉え直す視点とその手法を学ぶことにある。
臨床心理学演習１,2020,第3クォーター,3H545,ロールプレイや事例検討を通して，臨床心理学や心理学を基にした支援を行うために必要な基本的な知識と技能を学ぶ。
臨床心理学演習１（心理演習１）,2020,第3クォーター,3H546,ロールプレイや事例検討を通して，臨床心理学や心理学を基にした支援を行うために必要な基本的な知識と技能を学ぶ。
初等国語科教育論１,2020,第3クォーター,3H709,この授業では、小学校国語科において、言語活動の充実を通して、言語力を育成する指導法について講義する。
グローバル文化特別演習Ａ,2020,第3クォーター,3HA04,映画学分野で卒論を書く予定の学生に対して、卒論のテーマを決めるための講義、議論、学生の発表を行う。受講生は、先行研究をよくふまえ、従来の研究に無いオリジナルな資料、視点を獲得して論文執筆の準備をする。
グローバル文化特別演習Ａ,2020,第3クォーター,3HA30,卒業論文の執筆を見据えつつ、卒業研究を進める上での文献渉猟、読解、分析、文章作成の作法を学び、研究を進めていくための基礎的な力をつける。
数学科教育論Ｄ２,2020,第4クォーター,4H249,近年の中等数学教育においては、コンピュータの適切な活用が求められている。本授業では、数式処理ソフトウェアを用いて、中等数学の各科目の理解を促す教材作成を学ぶ。特に、自習向け教材（特にインタラクティブに操作可能な教材）の作成方法を扱う。
現代ＩＴ入門Ｂ,2020,第4クォーター,4H325,"情報技術(Information Technology,IT)は我々の身の回り、産業、社会など様々な分野に急速に浸透してきている。急速に発達する技術が我々の生活にも大きな変革を及ぼそうとしているのである。コンピュータ技術に基づいたデジタル情報で表現されているマルチメディアの構造や取り扱い方を学び、それらが我々の世界にどのような影響を与えるかを考えることをテーマとする。"
英米テクスト文化論Ｂ,2020,第4クォーター,4H338,英米の文化は、英語世界の拡大とともに世界に広く浸透しグローバルなものとなっている一方で、容易には理解しがたい異文化としての側面も持っている。この授業では、英米文化の「粋」ともいうべき文学作品について、「リアリズム」「モダニズム」「ポストモダニズム」の時代を概観する。
比較政策論Ｂ,2020,第4クォーター,4H358,従来、政策は国民国家単位で検討され、立案されるのが一般的だったが、グローバル化の進展による越境的な課題の急増は一国単位での政策実施の有効性を著しく低下させた。世界各国は政策実践を相互に参照し、協調しながら、自国の歴史的・制度的背景に適合する政策を選択することを求められている。本科目では、先進諸国が共通して直面している政策課題とそれに対する各国の対応について、Ｇ８諸国の政策実践を比較しながら検討する。具体的には財政再建、通商政策、産業政策、地球温暖化対策、地方分権、移民・外国人に対する対応、少子・高齢化、格差是正、犯罪・テロ対策、教育改革、都市再生、雇用政策、農業・食糧政策、エネルギー政策、男女共同参画などの分野を取り上げます。
音楽文化史２,2020,第4クォーター,4H526,エポックメーキングな個々の音楽作品を踏まえつつ、音楽芸術の表現様式の変遷とその社会的、文化史的な意味を考察する。第4Qでは、期末の発表にラジオ番組の体裁を取る。
臨床心理学演習２,2020,第4クォーター,4H545,ロールプレイや事例検討を通して，臨床心理学や心理学を基にした支援を行うために必要な基本的な知識と技能を学ぶ。
臨床心理学演習２（心理演習２）,2020,第4クォーター,4H546,ロールプレイや事例検討を通して，臨床心理学や心理学を基にした支援を行うために必要な基本的な知識と技能を学ぶ。
初等国語科教育論２,2020,第4クォーター,4H709,この授業では、小学校国語科において、言語活動の充実を通して、言語力を育成する指導法について講義する。
教育・保育実践演習（家庭保育）,2020,第4クォーター,4H763,保育者として求められる保護者支援、子育て支援の役割を再確認し、就業に際して求められる保護者対応に関する姿勢や対人援助技術の向上を目指す。子どもの最善の利益に資する家庭との連携について理論と実践をつなぎ総合的に検討する。
グローバル文化特別演習Ｂ,2020,第4クォーター,4HA04,映画学分野で卒論を書く予定の学生に対して、卒論のテーマを決めるための講義、議論、学生の発表を行う。受講生は、先行研究をよくふまえ、従来の研究に無いオリジナルな資料、視点を獲得して論文執筆の準備をする。
グローバル文化特別演習Ｂ,2020,第4クォーター,4HA30,卒業論文の執筆を見据えつつ、卒業研究を進める上での文献渉猟、読解、分析、文章作成の作法を学び、研究を進めていくための基礎的な力をつける。
国際コミュニケーション演習Ａ,2020,第1クォーター,1H078,"This course is designed for students interested in global issues and foreign languages. Through a journey of several sessions, we will study different cultural or environmental issues which are happening in the world, we will see what kind of solutions are proposed by scholars, government agencies or international organizations or NGO’S’s we will analyze them and see what is good or bad, developing, therefore, our critical thinking.  At the same time, we will enrich our vocabulary, work on our grammar and deepen our understanding of concepts and develop our academic writing and presentation skills. designed to show to analyze global issues, discuss the concepts and practices the vocabulary used in academic writing and practicing logical and critical thinking. The goal is to be able to write one's own opinion logically on the theme using the writing style and vocabulary of reports."
Cultures and Societies in Japan A,2020,第1クォーター,1H081,An Examination of Japanese Cultural traditions from the perspective of Japanese music history
博物館資料論１,2020,第1クォーター,1H266,博物館資料を中心にとりあげます。博物館にとって資料とはどのような「モノ」なのでしょうか。授業では、博物館資料の収集と整理・保存、調査研究について、そして資料を展示・教育普及等の博物館活動にどのように活かしていくのかを学びます。講義内容は複数回にわたることがあります。
グローバル・ヒストリーＡ,2020,第1クォーター,1H302,この授業は、現代世界を形作るに至ったさまざまな歴史的事象を多方面から掘り起こして見ることにより、現代世界のより深い理解をうながすことを目的とする。テクノロジーの目覚ましい進化や経済の「効率化」が進む一方、私の生活は必ずしも豊かになったとは言えず、貧困や差別、紛争は世界から無くならない。その原因を探るには、私たちの近い過去の歴史、つまりどのような経緯で現在に至ったのかを知ることが不可欠である。この授業では、科学史、東欧史、日本文化史の専門家が、欧米、アジア、日本などの個別の事例を示しつつ、人、モノ、知の交流の歴史をグローバルな視点から考える。きれいごとの側面だけではない、ダーティーな取引や、ハードな対立についても、大学生なので、目をそらさず、考えてゆきたい。
近現代アート論Ａ,2020,第1クォーター,1H348,時代を象徴するような美術作品を解説･参照しながら、20世紀以降の近現代美術の流れと、そこにおける諸問題を考察する。
グローバル社会動態発展演習Ｃ,2020,第1クォーター,1H415,この演習では、様々な社会問題を解決・改善するための政策を立案し、提言するトレーニングを行います。大学の授業では、社会問題に対する過去の研究や思想を学ぶことに多くの時間を割いていますが、「ではどうしたらよいのか？」という問いに正面から取り組む機会は限られています。結果的に大学時代に考えていた「理想」と、社会に出たからの「現実」がかけ離れたまま、社会人生活を送ることになりがちです。政治や社会を批判的にとらえるだけでは、自分が社会の一員となった場合の行動力や思考力は身に付きません。「どうせ理想通りにいかない世の中だから」と諦めて、本の中の理想に閉じこもるのではなく、現実の様々な制約の中でどこまで自分なりの理想を実現できるのかを考える力を身につけることこそ、政策型思考力だと言えます。この授業では、毎週、グループや個人で様々な社会問題に対する政策提言のプレゼンテーションを行うことで、政策を立案し、議論し、実現する、政策型思考力を鍛えてゆきたいと考えています。この演習は講座や学年を問わず、積極的に発言し、議論する学生を歓迎します。なお今期は７月７日に神戸大学で開催される関西国際関係合同ゼミナールに参加しますので、合同ゼミに関わる活動にも積極的に参加してほしいと思います。その他、神戸大学法学部のゼミとの研究会も予定しています。他講座や今期から初めて私の演習を受講する方も歓迎します。
環境保健学１,2020,第1クォーター,1H510,人とその生活や産業活動、人をとりまく自然環境・生活環境との基本的な関係性を学ぶとともに、人の活動による様々な環境への影響とそこから生じる健康リスクに関る問題について具体的に学ぶ。
中等学校教育相談１,2020,第1クォーター,1H536,現代の教育現場である中学校において、不登校・摂食障害・いじめ・解離性障害・対人恐怖・リストカット症候群・アスペルガー障害、学習障害などの問題行動や異常心理、発達障害が表れることが増加してきており、教師がそれらの対応に迫られる機会が増えている。そのような問題行動や発達障害への教師やスクールカウンセラーの対応の仕方、保護者との連携の仕方、校内の教育相談のシステムの作り方、教師とスクールカウンセラーとスクールサポーターとの連携の仕方などについて学ぶことを目標とする。
心理テスト法１,2020,第1クォーター,1H542,ロールシャッハ検査法を中心に心理検査法の原理を学習するとともに，臨床心理場面において実施するうえでの基礎的姿勢を習得する。
映像・メディア論演習１,2020,第1クォーター,1H570,映像・メディアに関する洋書を購読し、考察を深める。
環境地球科学Ａ,2020,第1クォーター,1H603,地球の自然環境と人間生活のかかわりについて理解を深めるための基礎となる地球環境の諸要素を学習する。
計算機科学入門,2020,第1クォーター,1H606,環境に関わる多岐にわたる課題を論理的かつ緻密に分析するためには，様々な計算やデータの整理などに計算機を活用する必要があります。本授業では，計算機に様々な計算をさせる方法や，データの整理や提示などの技術について学ぶます。
生活空間計画論,2020,第1クォーター,1H610,都市空間の計画を中心とした生活空間計画について、その思想・理論・方法を考える。
初等学校教育相談１,2020,第1クォーター,1H719,幼児児童の自己形成，望ましい対人関係，社会適応を促進し，人格形成を支援するために，教育相談の意義や理論，幼児期、児童期、思春期の発達的特徴、カウンセリングに基づく教育相談のあり方について学習します。
発達障害心理学１,2020,第1クォーター,1H736,心理学的な視点からみた知的障害の理解
発達障害心理学１（障害者・障害児心理学１）,2020,第1クォーター,1H737,心理学的な視点からみた知的障害の理解
数理認識実践研究２,2020,第1クォーター,1H745,数理認識が、授業を通じてどのように形成されるのかについて深く学習する。
乳幼児心理学１,2020,第1クォーター,1H750,教師が幼児の指導を行う上で、幼児の発達プロセスや学びのありようを理解することは重要である。本講義では、幼児の発達に関する基礎的な知識を学び、子どもを発達的に理解するための実践的力量を養成する。
グローバル文化特別演習Ｃ,2020,第1クォーター,1HA16,問題意識の明確化と、卒業論文作成に向けた研究テーマの確定。必要な文献資料の調査・収集。
グローバル文化特別演習Ｃ,2020,第1クォーター,1HA48,卒業論文を準備するための演習です。特別演習ABに引き続き、卒業研究を進めるために必要な学術的知識の整理を行い、討議を進めます。
国際コミュニケーション演習Ｂ,2020,第2クォーター,2H078,"This course is designed for students interested in global issues and foreign languages. Through a journey of several sessions, we will study different cultural or environmental issues which are happening in the world, we will see what kind of solutions are proposed by scholars, government agencies or international organizations or NGO’S’s we will analyze them and see what is good or bad, developing, therefore, our critical thinking.  At the same time, we will enrich our vocabulary, work on our grammar and deepen our understanding of concepts and develop our academic writing and presentation skills. designed to show to analyze global issues, discuss the concepts and practices the vocabulary used in academic writing and practicing logical and critical thinking. The goal is to be able to write one's own opinion logically on the theme using the writing style and vocabulary of reports."
Cultures and Societies in Japan B,2020,第2クォーター,2H081,An Examination of Japanese Cultural traditions from the perspective of Japanese musical history
博物館資料論２,2020,第2クォーター,2H266,博物館資料を中心にとりあげます。博物館にとって資料とはどのような「モノ」なのでしょうか。授業では、博物館資料の収集と整理・保存、調査研究について、そして資料を展示・教育普及等の博物館活動にどのように活かしていくのかを学びます。講義内容は複数回にわたることがあります。
グローバル・ヒストリーＢ,2020,第2クォーター,2H302,この授業では、現代世界を理解するための前提条件として、世界史の基礎部分を形成する重要事項を学ぶ。すなわち、教科書等の概説書ではほとんど書かれていないものの、現在のグローバルな視点から見て看過できないような決定的意味を持つ歴史事象を多方面から掘り起こして見たい。地域としてはアジアと日本を主対象とするが、当然、南北アメリカやアフリカ、ヨーロッパ等の諸地域に対するグローバルな広がりをも有する。
近現代アート論Ｂ,2020,第2クォーター,2H348,時代を象徴するような美術作品を解説･参照しながら、20世紀以降の近現代美術の流れと、そこにおける諸問題を考察する。
グローバル社会動態発展演習Ｄ,2020,第2クォーター,2H415,この演習では、様々な社会問題を解決・改善するための政策を立案し、提言するトレーニングを行います。大学の授業では、社会問題に対する過去の研究や思想を学ぶことに多くの時間を割いていますが、「ではどうしたらよいのか？」という問いに正面から取り組む機会は限られています。結果的に大学時代に考えていた「理想」と、社会に出たからの「現実」がかけ離れたまま、社会人生活を送ることになりがちです。政治や社会を批判的にとらえるだけでは、自分が社会の一員となった場合の行動力や思考力は身に付きません。「どうせ理想通りにいかない世の中だから」と諦めて、本の中の理想に閉じこもるのではなく、現実の様々な制約の中でどこまで自分なりの理想を実現できるのかを考える力を身につけることこそ、政策型思考力だと言えます。この授業では、毎週、グループや個人で様々な社会問題に対する政策提言のプレゼンテーションを行うことで、政策を立案し、議論し、実現する、政策型思考力を鍛えてゆきたいと考えています。この演習は講座や学年を問わず、積極的に発言し、議論する学生を歓迎します。なお今期は７月７日に神戸大学で開催される関西国際関係合同ゼミナールに参加しますので、合同ゼミに関わる活動にも積極的に参加してほしいと思います。その他、神戸大学法学部のゼミとの研究会も予定しています。他プログラムや今期から初めて私の演習を受講する方も歓迎します。
環境保健学２,2020,第2クォーター,2H510,自然環境・生活環境からもたらされる健康リスクに関わる現在の法律や規制基準の基本的な考え方について学び、実生活上の環境・健康リスクへの社会的な対応を理解する。
中等学校教育相談２,2020,第2クォーター,2H536,現代の教育現場である中学校において、不登校・摂食障害・いじめ・解離性障害・対人恐怖・リストカット症候群・アスペルガー障害、学習障害などの問題行動や異常心理、発達障害が表れることが増加してきており、教師がそれらの対応に迫られる機会が増えている。そのような問題行動や発達障害への教師やスクールカウンセラーの対応の仕方、保護者との連携の仕方、校内の教育相談のシステムの作り方、教師とスクールカウンセラーとスクールサポーターとの連携の仕方などについて学ぶことを目標とする。
心理テスト法２,2020,第2クォーター,2H542,ロールシャッハ検査法を中心に心理検査法の原理を学習するとともに，臨床心理場面において実施するうえでの基礎的姿勢を習得する。
映像・メディア論演習２,2020,第2クォーター,2H570,映像・メディアに関する洋書を購読し、考察を深める。
数理モデルプログラミング,2020,第2クォーター,2H605,環境に関わる多岐にわたる課題を論理的かつ緻密に分析するためには，数理モデルをコンピュータで解決する必要が出てくる。本授業では，簡単な数理モデルをいくつか設定し，その問題解決をコンピュータで行う基本的な方法を学び，その結果を考察する。
外国史,2020,第2クォーター,2H633,古代から現代までの西洋史・東洋史を、主に市場経済と国家との連関に着目しながら、概説する。
初等学校教育相談２,2020,第2クォーター,2H719,「初等学校教育相談１」に引き続き、幼児児童の心理的問題を解決するために、教育相談に活用できるカウンセリング技法，不登校・不登園、いじめ、非行、虐待被害等の課題に対する教育相談のあり方，教育相談の適用範囲と他機関などとの連携について学習します。
発達障害心理学２,2020,第2クォーター,2H736,生涯発達の視点から知的障害を理解する
発達障害心理学２（障害者・障害児心理学２）,2020,第2クォーター,2H737,生涯発達の視点から知的障害を理解する
乳幼児心理学２,2020,第2クォーター,2H750,教師が幼児の指導を行う上で、幼児の発達プロセスや学びのありようを理解することは重要である。本講義では、従来の発達理論や最新の発達研究の知見も取り入れながら、幼児のさまざまな活動や領域の発達について学び、発達をふまえた保育を考える基礎的・実践的力量を養成する。
グローバル文化特別演習Ｄ,2020,第2クォーター,2HA16,卒業論文作成に向けて研究テーマの確定、必要な文献資料の調査・収集を行います。また基本文献について発表してもらうことで、文献の理解と問題意識の明確化を図ります。
グローバル文化特別演習Ｄ,2020,第2クォーター,2HA48,卒業論文を準備するための演習です。
音楽科教育論Ｄ１,2020,第3クォーター,3H236,諸民族の音楽の観賞用授業教材としての活用
近現代経済思想論１,2020,第3クォーター,3H361,今日における資本主義の変容と統治問題　その１情報化やグローバル化をキーワードに語られる今日の資本主義が、18世紀以来の古典的資本主義とどのように異なり、また同じであるかを考える。その際、問題を経済的次元に限定させることなく、政治、とりわけ市場や人間の生そのものの管理や統治をめぐる諸思想との関連に留意する。
