,科目名,トピック分布
2523,心の発達と教育１（学習・言語心理学１）,"[0.013910054, 0.93032706, 0.0139040435, 0.013958888, 0.013958436, 0.013941562]"
2524,心理学統計法Ｂ１,"[0.011965815, 0.012055504, 0.6370807, 0.012032288, 0.31488097, 0.011984728]"
2525,都市と建築の20世紀１,"[0.027829867, 0.027829437, 0.027853899, 0.86074615, 0.027809469, 0.027931252]"
2526,数理科学入門（代数系）,"[0, 0, 0, 0.9619552, 0, 0]"
2527,人文地理学,"[0.027980149, 0.4696111, 0.4183732, 0.02796906, 0.02801917, 0.028047288]"
2528,環境形成科学演習３,"[0.0279415, 0.028129188, 0.027864268, 0.027896617, 0.027914802, 0.86025363]"
2529,幼児心理学演習１,"[0, 0.9534564, 0, 0, 0, 0]"
2530,グローバル文化特別演習Ａ,"[0.055825822, 0.7214659, 0.055795453, 0.055694878, 0.055572044, 0.055645928]"
2531,グローバル文化特別演習Ａ,"[0.02835106, 0.02828976, 0.027928904, 0.028036732, 0.027850412, 0.8595431]"
2532,グローバル文化特別演習Ａ,"[0.018561337, 0.018606288, 0.018639158, 0.9069636, 0.018619763, 0.018609893]"
2533,グローバル文化特別演習Ａ,"[0.028347831, 0.028282551, 0.027928885, 0.028036693, 0.027850404, 0.8595536]"
2534,グローバル文化特別演習Ａ,"[0.05582167, 0.7214725, 0.055793088, 0.055694796, 0.05557204, 0.05564589]"
2535,グローバル文化特別演習Ａ,"[0.028360633, 0.028295616, 0.027928928, 0.028036784, 0.027850425, 0.8595276]"
2536,ＴＯＥＦＬ演習Ｂ,"[0.22860546, 0, 0, 0, 0.7571808, 0]"
2537,非言語コミュニケーション論２,"[0, 0.07191266, 0.91436094, 0, 0, 0]"
2538,日本思想文化論Ｂ,"[0, 0.646882, 0.32824853, 0, 0, 0]"
2539,エスノミュージコロジー２,"[0, 0, 0, 0, 0.97604406, 0]"
2540,心の発達と教育２,"[0.013910056, 0.9303271, 0.013904044, 0.013958814, 0.013958418, 0.013941571]"
2541,心の発達と教育２（教育・学校心理学１）,"[0.013910054, 0.93032724, 0.0139040435, 0.013958841, 0.013958315, 0.013941567]"
2542,心理学統計法Ｂ２,"[0.011965878, 0.01205935, 0.6356083, 0.012032262, 0.31634948, 0.011984739]"
2543,都市と建築の20世紀２,"[0.027812647, 0.027911067, 0.027882643, 0.8605703, 0.027832879, 0.027990459]"
2544,環境形成科学演習４,"[0.033434227, 0.033880726, 0.03346057, 0.033515137, 0.03354137, 0.8321679]"
2545,数理認識実践研究１,"[0.14146596, 0.01685962, 0.01672841, 0.7913668, 0.016772252, 0.016806884]"
2546,特別支援教育入門（幼・小）,"[0.011169341, 0.011228227, 0.011146552, 0.011274268, 0.011185401, 0.9439962]"
2547,幼児心理学演習２,"[0, 0.95346, 0, 0, 0, 0]"
2548,グローバル文化特別演習Ｂ,"[0.055822052, 0.721473, 0.055792265, 0.055694785, 0.05557204, 0.055645883]"
2549,グローバル文化特別演習Ｂ,"[0.018792002, 0.018709296, 0.018594226, 0.90674037, 0.01855882, 0.018605309]"
2550,グローバル文化特別演習Ｂ,"[0.018561335, 0.01860629, 0.018639762, 0.906963, 0.01861976, 0.018609824]"
2551,グローバル文化特別演習Ｂ,"[0.018790467, 0.018709285, 0.018594222, 0.90674186, 0.018558817, 0.018605305]"
2552,グローバル文化特別演習Ｂ,"[0.055821855, 0.72147274, 0.05579274, 0.055694785, 0.05557204, 0.055645883]"
2553,グローバル文化特別演習Ｂ,"[0.018793067, 0.0187093, 0.018594226, 0.9067393, 0.01855882, 0.018605309]"
2554,発達コミュニティ演習３,"[0.9237434, 0.015303584, 0.015368297, 0.0152150225, 0.015173024, 0.0151966745]"
2555,発達コミュニティ演習３,"[0.012005746, 0.012085945, 0.94007695, 0.011939766, 0.0119247595, 0.011966855]"
2556,発達コミュニティ演習３,"[0, 0, 0, 0, 0.9650758, 0]"
2557,身体表現論１,"[0, 0, 0, 0, 0, 0.9678058]"
2558,環境基礎科学演習１,"[0.02781581, 0.027905183, 0.027831001, 0.027817033, 0.86082, 0.02781095]"
2559,環境基礎科学演習１,"[0.01516404, 0.9240794, 0.015173293, 0.015200924, 0.015169201, 0.015213098]"
2560,環境基礎科学演習１,"[0, 0, 0, 0.9601442, 0, 0]"
2561,環境基礎科学演習１,"[0.013920888, 0.014013343, 0.013908849, 0.013941094, 0.93028647, 0.013929324]"
2562,環境基礎科学演習１,"[0, 0.9536152, 0, 0, 0, 0]"
2563,環境基礎科学演習１,"[0, 0.9536131, 0, 0, 0, 0]"
2564,環境基礎科学演習１,"[0, 0.5059894, 0, 0, 0, 0.4691766]"
2565,環境基礎科学演習１,"[0, 0.24251154, 0, 0.72224927, 0, 0]"
2566,環境基礎科学演習１,"[0, 0.95361596, 0, 0, 0, 0]"
2567,環境基礎科学演習１,"[0.015164486, 0.92407954, 0.01517277, 0.01519821, 0.015169883, 0.015215146]"
2568,環境基礎科学演習１,"[0.027789937, 0.02783934, 0.02779774, 0.027805218, 0.8609615, 0.0278063]"
2569,環境基礎科学演習１,"[0, 0.9536157, 0, 0, 0, 0]"
2570,環境基礎科学演習１,"[0, 0.9536157, 0, 0, 0, 0]"
2571,環境形成科学演習１,"[0, 0, 0, 0.9559657, 0, 0]"
2572,環境形成科学演習１,"[0.016697636, 0.016744528, 0.016696302, 0.9163896, 0.01677296, 0.016698971]"
2573,グローバル文化特別演習Ｃ,"[0, 0, 0.95590955, 0, 0, 0]"
2574,グローバル文化特別演習Ｃ,"[0.19186376, 0.041901857, 0.041678898, 0.041820236, 0.041781105, 0.64095414]"
2575,グローバル文化特別演習Ｃ,"[0.033784438, 0.83259267, 0.03340213, 0.03343914, 0.03338614, 0.03339555]"
2576,グローバル文化特別演習Ｃ,"[0.79088354, 0.04200815, 0.041780952, 0.041829113, 0.041719694, 0.041778512]"
2577,グローバル文化特別演習Ｃ,"[0.9477178, 0.01045864, 0.01045761, 0.010493089, 0.010429828, 0.0104430495]"
2578,発達コミュニティ演習４,"[0.92375636, 0.015303548, 0.015355391, 0.01521501, 0.01517302, 0.015196666]"
2579,発達コミュニティ演習４,"[0.012005719, 0.012070271, 0.9400926, 0.01193976, 0.011924757, 0.011966846]"
2580,発達コミュニティ演習４,"[0, 0, 0, 0, 0.96507555, 0]"
2581,身体表現論２,"[0, 0, 0, 0, 0, 0.96780634]"
2582,環境基礎科学演習２,"[0.027815806, 0.027904168, 0.027831, 0.027817028, 0.86082107, 0.027810944]"
2583,環境基礎科学演習２,"[0, 0.9536153, 0, 0, 0, 0]"
2584,環境基礎科学演習２,"[0, 0, 0, 0.96014476, 0, 0]"
2585,環境基礎科学演習２,"[0.013920886, 0.014009593, 0.013908847, 0.013941091, 0.9302903, 0.0139293205]"
2586,環境基礎科学演習２,"[0, 0.9536154, 0, 0, 0, 0]"
2587,環境基礎科学演習２,"[0, 0.9536156, 0, 0, 0, 0]"
2588,環境基礎科学演習２,"[0, 0.50595134, 0, 0, 0, 0.4692146]"
2589,環境基礎科学演習２,"[0, 0.24243242, 0, 0.7223284, 0, 0]"
2590,環境基礎科学演習２,"[0, 0.953615, 0, 0, 0, 0]"
2591,環境基礎科学演習２,"[0.015164486, 0.9240794, 0.01517277, 0.015198232, 0.015169883, 0.015215212]"
2592,環境基礎科学演習２,"[0.027789935, 0.027839154, 0.027797729, 0.027805194, 0.86096174, 0.027806273]"
2593,環境基礎科学演習２,"[0, 0.9536152, 0, 0, 0, 0]"
2594,環境基礎科学演習２,"[0, 0.9536152, 0, 0, 0, 0]"
2595,環境形成科学演習２,"[0, 0, 0, 0.9559655, 0, 0]"
2596,グローバル文化特別演習Ｄ,"[0, 0, 0.9601093, 0, 0, 0]"
2597,グローバル文化特別演習Ｄ,"[0.19206363, 0.041901503, 0.041678883, 0.041820012, 0.041780937, 0.640755]"
2598,グローバル文化特別演習Ｄ,"[0.03376969, 0.83260745, 0.033402108, 0.03343911, 0.033386134, 0.033395536]"
2599,グローバル文化特別演習Ｄ,"[0.7908567, 0.04203456, 0.04178105, 0.0418293, 0.041719742, 0.04177861]"
2600,グローバル文化特別演習Ｄ,"[0.9476794, 0.010458978, 0.010454478, 0.010529966, 0.01042995, 0.010447268]"
2601,教育原理１,"[0, 0, 0, 0, 0, 0.95071244]"
2602,発達コミュニティ演習１,"[0.92375416, 0.015303557, 0.015357597, 0.015215014, 0.015173023, 0.015196669]"
2603,発達コミュニティ演習１,"[0.012947532, 0.01295468, 0.93553174, 0.012850741, 0.012845437, 0.012869926]"
2604,環境基礎科学演習３,"[0.027815808, 0.027905906, 0.027831007, 0.027817031, 0.86081934, 0.027810948]"
2605,環境基礎科学演習３,"[0.015164039, 0.92408055, 0.01517329, 0.015200848, 0.015169199, 0.015212014]"
2606,環境基礎科学演習３,"[0, 0, 0, 0.9601442, 0, 0]"
2607,環境基礎科学演習３,"[0.013920887, 0.014008735, 0.013908848, 0.013941089, 0.9302912, 0.013929321]"
2608,環境基礎科学演習３,"[0, 0.9536156, 0, 0, 0, 0]"
2609,環境基礎科学演習３,"[0, 0.9536156, 0, 0, 0, 0]"
2610,環境基礎科学演習３,"[0, 0.5059302, 0, 0, 0, 0.4692358]"
2611,環境基礎科学演習３,"[0, 0.24170128, 0, 0.7230582, 0, 0]"
2612,環境基礎科学演習３,"[0, 0.9536154, 0, 0, 0, 0]"
2613,環境基礎科学演習３,"[0.015164489, 0.92407537, 0.015172774, 0.0151983, 0.015169887, 0.0152191715]"
2614,環境基礎科学演習３,"[0.027789935, 0.027839363, 0.027797727, 0.027805217, 0.8609615, 0.027806258]"
2615,環境基礎科学演習３,"[0.015164045, 0.92407846, 0.015173296, 0.015200931, 0.015169204, 0.015214088]"
2616,環境基礎科学演習３,"[0, 0.95361507, 0, 0, 0, 0]"
2617,環境形成科学演習３,"[0, 0, 0, 0.9559658, 0, 0]"
2618,環境形成科学演習３,"[0.016697636, 0.016744507, 0.0166963, 0.9163888, 0.016773734, 0.01669897]"
2619,乳幼児と人間関係,"[0, 0.97591025, 0, 0, 0, 0]"
2620,保育内容研究（児童文化と言葉）１,"[0, 0, 0, 0.95340705, 0, 0]"
2621,グローバル文化特別演習Ａ,"[0, 0, 0.9559087, 0, 0, 0]"
2622,グローバル文化特別演習Ａ,"[0, 0, 0.9635856, 0, 0, 0]"
2623,グローバル文化特別演習Ａ,"[0.90669674, 0.018660095, 0.018714864, 0.018649999, 0.018672861, 0.018605448]"
2624,グローバル文化特別演習Ａ,"[0.020901818, 0.8949907, 0.021096569, 0.021135507, 0.020979172, 0.020896241]"
2625,グローバル文化特別演習Ａ,"[0.79086894, 0.042022496, 0.04178101, 0.04182922, 0.04171972, 0.04177857]"
2626,グローバル文化特別演習Ａ,"[0.033781067, 0.832596, 0.033402123, 0.033439133, 0.033386137, 0.03339555]"
2627,グローバル文化特別演習Ａ,"[0, 0, 0.15297498, 0, 0, 0.8099355]"
2628,グローバル文化特別演習Ａ,"[0.79088473, 0.042006984, 0.04178095, 0.041829105, 0.041719694, 0.041778505]"
2629,グローバル文化特別演習Ａ,"[0.9620199, 0, 0, 0, 0, 0]"
2630,グローバル文化特別演習Ａ,"[0, 0, 0.50716305, 0, 0, 0.46091157]"
2631,教育原理２,"[0, 0, 0, 0, 0, 0.9507119]"
2632,発達コミュニティ演習２,"[0.92376083, 0.0153035335, 0.015350891, 0.015215006, 0.015173019, 0.015196663]"
2633,発達コミュニティ演習２,"[0.012039316, 0.3139406, 0.6382125, 0.01193467, 0.011934761, 0.011938119]"
2634,環境基礎科学演習４,"[0.027815817, 0.027909303, 0.027831012, 0.02781704, 0.8608159, 0.027810957]"
2635,環境基礎科学演習４,"[0.015164042, 0.92408, 0.015173293, 0.015200987, 0.015169201, 0.01521241]"
2636,環境基礎科学演習４,"[0, 0, 0, 0.96014416, 0, 0]"
2637,環境基礎科学演習４,"[0.013920885, 0.014008177, 0.013908847, 0.013941089, 0.9302917, 0.01392932]"
2638,環境基礎科学演習４,"[0, 0.9536157, 0, 0, 0, 0]"
2639,環境基礎科学演習４,"[0, 0.95361584, 0, 0, 0, 0]"
2640,環境基礎科学演習４,"[0, 0.5059541, 0, 0, 0, 0.46921188]"
2641,環境基礎科学演習４,"[0, 0.24249548, 0, 0.7222653, 0, 0]"
2642,環境基礎科学演習４,"[0, 0.9536152, 0, 0, 0, 0]"
2643,環境基礎科学演習４,"[0.015164489, 0.92407674, 0.015172774, 0.015198319, 0.015169887, 0.015217834]"
2644,環境基礎科学演習４,"[0.027789935, 0.02783919, 0.027797729, 0.027805211, 0.8609617, 0.027806282]"
2645,環境基礎科学演習４,"[0.015164043, 0.9240806, 0.015173294, 0.015200901, 0.015169203, 0.015211957]"
2646,環境基礎科学演習４,"[0, 0.9536155, 0, 0, 0, 0]"
2647,環境形成科学演習４,"[0, 0, 0, 0.9559655, 0, 0]"
2648,環境形成科学演習４,"[0.016697638, 0.01674452, 0.016696302, 0.91638875, 0.01677381, 0.016698971]"
2649,保育内容研究（児童文化と言葉）２,"[0, 0, 0, 0.9534023, 0, 0]"
2650,グローバル文化特別演習Ｂ,"[0, 0, 0.9601056, 0, 0, 0]"
2651,グローバル文化特別演習Ｂ,"[0, 0, 0.9651208, 0, 0, 0]"
2652,グローバル文化特別演習Ｂ,"[0.90667886, 0.018660158, 0.018732522, 0.018650055, 0.018672932, 0.018605482]"
2653,グローバル文化特別演習Ｂ,"[0.7913564, 0.041764565, 0.041673742, 0.041776493, 0.041709155, 0.04171969]"
2654,グローバル文化特別演習Ｂ,"[0.7908852, 0.042006496, 0.041780945, 0.0418291, 0.041719694, 0.041778505]"
2655,グローバル文化特別演習Ｂ,"[0.03378131, 0.83259577, 0.033402126, 0.033439137, 0.033386145, 0.03339555]"
2656,グローバル文化特別演習Ｂ,"[0, 0, 0.15303086, 0, 0, 0.80987966]"
2657,グローバル文化特別演習Ｂ,"[0.7908764, 0.042015158, 0.041780982, 0.041829202, 0.04171971, 0.04177854]"
2658,グローバル文化特別演習Ｂ,"[0.9620198, 0, 0, 0, 0, 0]"
2659,グローバル文化特別演習Ｂ,"[0, 0, 0.7241748, 0, 0, 0.23639545]"
2660,発達コミュニティ演習１,"[0, 0, 0, 0, 0, 0.95057976]"
2661,発達コミュニティ演習２,"[0, 0, 0, 0, 0, 0.9579773]"
2662,数学科教育論Ａ１,"[0, 0, 0, 0, 0.9773031, 0]"
2663,グローバル社会動態基礎演習Ｃ,"[0, 0, 0, 0.9506982, 0, 0]"
2664,健康運動科学１,"[0, 0.98003834, 0, 0, 0, 0]"
2665,初等算数科教育論１,"[0, 0, 0, 0, 0.97001135, 0]"
2666,数学科教育論Ａ２,"[0.19896418, 0, 0, 0, 0.78188, 0]"
2667,グローバル社会動態基礎演習Ｄ,"[0, 0, 0, 0.9506937, 0, 0]"
2668,健康運動科学２,"[0, 0.98003787, 0, 0, 0, 0]"
2669,環境社会学,"[0, 0, 0.9766257, 0, 0, 0]"
2670,環境モデル解析Ｂ,"[0, 0, 0.9599548, 0, 0, 0]"
2671,初等算数科教育論２,"[0.014071901, 0.014003388, 0.013928218, 0.93004006, 0.014004074, 0.01395235]"
2672,深層心理学１,"[0, 0, 0, 0, 0.9559238, 0]"
2673,環境基礎物理学Ｂ,"[0, 0.9664791, 0, 0, 0, 0]"
2674,環境資源植物科学,"[0.7352128, 0, 0, 0.25043556, 0, 0]"
2675,環境高分子化学,"[0, 0.9580798, 0, 0, 0, 0]"
2676,深層心理学２,"[0, 0, 0, 0, 0.95813066, 0]"
2677,博物館概論１,"[0, 0, 0, 0, 0, 0.9773911]"
2678,グローバル文化形成発展演習Ｃ,"[0, 0, 0, 0, 0.18566361, 0.7884497]"
2679,臨床投影法１,"[0.011131624, 0.011149711, 0.011141716, 0.94427645, 0.011168151, 0.011132371]"
2680,臨床投影法１（心理的アセスメント１）,"[0.011131625, 0.0111496495, 0.011141721, 0.9442768, 0.011167815, 0.011132372]"
2681,分子生物学,"[0.7308113, 0.15150481, 0, 0, 0.10244084, 0]"
2682,教育行政学（幼・小）１,"[0.015224728, 0.015213538, 0.015193399, 0.015228925, 0.015204082, 0.92393535]"
2683,障害共生教育論１,"[0.95586866, 0, 0, 0, 0, 0]"
2684,障害児保育演習１,"[0.016719913, 0.016916402, 0.016679725, 0.016715782, 0.9162383, 0.016729878]"
2685,グローバル文化特別演習Ｃ,"[0, 0.95051146, 0, 0, 0, 0]"
2686,グローバル文化特別演習Ｃ,"[0.01855515, 0.9072131, 0.018556869, 0.01856801, 0.018565765, 0.018541103]"
2687,グローバル文化特別演習Ｃ,"[0, 0.2955282, 0.5392461, 0.1411885, 0, 0]"
2688,博物館概論２,"[0, 0, 0, 0, 0, 0.9773911]"
2689,グローバル文化形成発展演習Ｄ,"[0, 0.10489488, 0, 0.09747694, 0.78326195, 0]"
2690,臨床投影法２,"[0.011131625, 0.011149669, 0.0111417165, 0.9442755, 0.011169117, 0.011132372]"
2691,臨床投影法２（心理的アセスメント２）,"[0.011131625, 0.011149696, 0.011141716, 0.94427633, 0.0111682275, 0.011132371]"
2692,環境物理学Ａ,"[0, 0.9579716, 0, 0, 0, 0]"
2693,環境形成科学演習２,"[0.01669764, 0.016744502, 0.016696304, 0.91638523, 0.01677733, 0.016698973]"
2694,教育行政学（幼・小）２,"[0.5449276, 0.21757951, 0.012848228, 0.19877453, 0.012952159, 0.01291795]"
2695,障害共生教育論２,"[0.9558694, 0, 0, 0, 0, 0]"
2696,英語科実践研究２,"[0.71979547, 0, 0, 0.25330833, 0, 0]"
2697,障害児保育演習２,"[0.016758414, 0.6717249, 0.016679104, 0.0167253, 0.2613389, 0.016773328]"
2698,グローバル文化特別演習Ｄ,"[0.012017064, 0.94005615, 0.011998097, 0.0119922375, 0.011970957, 0.011965511]"
2699,グローバル文化特別演習Ｄ,"[0.018555153, 0.90721333, 0.018556865, 0.01856783, 0.018565737, 0.018541103]"
2700,グローバル文化特別演習Ｄ,"[0, 0.29485452, 0.53855276, 0.14255553, 0, 0]"
2701,数学科教育論Ｄ１,"[0.6906974, 0, 0, 0, 0.2861633, 0]"
2702,現代ＩＴ入門Ａ,"[0, 0, 0, 0, 0.9738411, 0]"
2703,英米テクスト文化論Ａ,"[0, 0, 0, 0, 0.9678204, 0]"
2704,比較政策論Ａ,"[0, 0, 0.9910794, 0, 0, 0]"
2705,音楽文化史１,"[0.046447545, 0, 0.92776436, 0, 0, 0]"
2706,臨床心理学演習１,"[0.011127725, 0.011173717, 0.011133109, 0.011216329, 0.94420445, 0.011144669]"
2707,臨床心理学演習１（心理演習１）,"[0.011127725, 0.011173717, 0.011133109, 0.011216274, 0.9442045, 0.011144669]"
2708,初等国語科教育論１,"[0.012953451, 0.012876177, 0.012847503, 0.9355684, 0.012890921, 0.012863502]"
2709,グローバル文化特別演習Ａ,"[0.14832997, 0, 0.822491, 0, 0, 0]"
2710,グローバル文化特別演習Ａ,"[0.013977139, 0.92980534, 0.014031725, 0.014196538, 0.0140325045, 0.013956804]"
2711,数学科教育論Ｄ２,"[0.19447495, 0, 0, 0, 0.7797617, 0]"
2712,現代ＩＴ入門Ｂ,"[0, 0, 0, 0, 0.97384113, 0]"
2713,英米テクスト文化論Ｂ,"[0, 0, 0, 0, 0.96903497, 0]"
2714,比較政策論Ｂ,"[0, 0, 0.99107945, 0, 0, 0]"
2715,音楽文化史２,"[0, 0, 0.96193963, 0, 0, 0]"
2716,臨床心理学演習２,"[0.011127726, 0.011173718, 0.011133109, 0.011217769, 0.944203, 0.011144669]"
2717,臨床心理学演習２（心理演習２）,"[0.011127722, 0.0111737065, 0.011133106, 0.011210742, 0.94421005, 0.011144664]"
2718,初等国語科教育論２,"[0.012943322, 0.012876166, 0.012847498, 0.9355787, 0.012890864, 0.0128634935]"
2719,教育・保育実践演習（家庭保育）,"[0, 0, 0, 0, 0, 0.9710786]"
2720,グローバル文化特別演習Ｂ,"[0.1482968, 0, 0.82252693, 0, 0, 0]"
2721,グローバル文化特別演習Ｂ,"[0.013977136, 0.9298068, 0.014031721, 0.014194984, 0.014032503, 0.013956801]"
2722,国際コミュニケーション演習Ａ,"[0, 0, 0.25468382, 0, 0.7371679, 0]"
2723,Cultures and Societies in Japan A,"[0.016669309, 0.016703576, 0.9165125, 0.016770562, 0.016673818, 0.016670207]"
2724,博物館資料論１,"[0, 0, 0, 0, 0, 0.96357256]"
2725,グローバル・ヒストリーＡ,"[0.1183849, 0, 0.77504843, 0, 0.09829257, 0]"
2726,近現代アート論Ａ,"[0, 0, 0.10977396, 0, 0, 0.8509121]"
2727,グローバル社会動態発展演習Ｃ,"[0, 0, 0, 0.9927145, 0, 0]"
2728,環境保健学１,"[0, 0, 0, 0, 0.9649969, 0]"
2729,中等学校教育相談１,"[0, 0, 0, 0, 0, 0.98529965]"
2730,心理テスト法１,"[0, 0, 0, 0.9535548, 0, 0]"
2731,映像・メディア論演習１,"[0.027800653, 0.027787948, 0.02792713, 0.027855365, 0.027868573, 0.86076033]"
2732,環境地球科学Ａ,"[0.012871733, 0.93549854, 0.012896696, 0.0128939, 0.012927162, 0.012911952]"
2733,計算機科学入門,"[0, 0, 0, 0.96511376, 0, 0]"
2734,生活空間計画論,"[0.015205171, 0.0151914405, 0.0152452085, 0.92388093, 0.015210833, 0.0152664045]"
2735,初等学校教育相談１,"[0, 0, 0, 0.96888477, 0, 0]"
2736,発達障害心理学１,"[0.023884036, 0.02395436, 0.02391578, 0.023922432, 0.8804075, 0.02391584]"
2737,発達障害心理学１（障害者・障害児心理学１）,"[0.023883961, 0.023942865, 0.02391546, 0.02392101, 0.8804212, 0.023915522]"
2738,数理認識実践研究２,"[0.03342983, 0.8323263, 0.033411827, 0.03372102, 0.0335199, 0.033591118]"
2739,乳幼児心理学１,"[0, 0.9600459, 0, 0, 0, 0]"
2740,グローバル文化特別演習Ｃ,"[0.012937073, 0.012956613, 0.01289924, 0.012965226, 0.012862578, 0.9353793]"
2741,グローバル文化特別演習Ｃ,"[0.016694805, 0.9162932, 0.016692532, 0.016884394, 0.016704885, 0.01673016]"
2742,国際コミュニケーション演習Ｂ,"[0, 0, 0.25466996, 0, 0.7371817, 0]"
2743,Cultures and Societies in Japan B,"[0.016671635, 0.016747335, 0.7054757, 0.2277564, 0.016676234, 0.016672652]"
2744,博物館資料論２,"[0, 0, 0, 0, 0, 0.96357125]"
2745,グローバル・ヒストリーＢ,"[0, 0, 0.9766947, 0, 0, 0]"
2746,近現代アート論Ｂ,"[0, 0, 0.109768815, 0, 0, 0.8509173]"
2747,グローバル社会動態発展演習Ｄ,"[0, 0, 0, 0.99270755, 0, 0]"
2748,環境保健学２,"[0, 0, 0, 0, 0.95800656, 0]"
2749,中等学校教育相談２,"[0, 0, 0, 0, 0, 0.9852992]"
2750,心理テスト法２,"[0, 0, 0, 0.95355344, 0, 0]"
2751,映像・メディア論演習２,"[0.02780065, 0.027787948, 0.027924271, 0.02785514, 0.027868193, 0.86076385]"
2752,数理モデルプログラミング,"[0, 0, 0, 0.9650714, 0, 0]"
2753,外国史,"[0.011971238, 0.01192869, 0.012036067, 0.94009906, 0.011943389, 0.012021508]"
2754,初等学校教育相談２,"[0.97514844, 0, 0, 0, 0, 0]"
2755,発達障害心理学２,"[0.023908895, 0.023950078, 0.023901843, 0.023898141, 0.880428, 0.023913007]"
2756,発達障害心理学２（障害者・障害児心理学２）,"[0.023909206, 0.023949696, 0.023901882, 0.023898114, 0.880428, 0.02391308]"
2757,乳幼児心理学２,"[0, 0.9700149, 0, 0, 0, 0]"
2758,グローバル文化特別演習Ｄ,"[0, 0, 0, 0, 0, 0.9532298]"
2759,グローバル文化特別演習Ｄ,"[0.055822212, 0.72147304, 0.05579207, 0.055694774, 0.05557204, 0.055645883]"
2760,音楽科教育論Ｄ１,"[0.023867693, 0.023856256, 0.023844754, 0.023933494, 0.88063675, 0.023861108]"
2761,近現代経済思想論１,"[0, 0, 0, 0, 0, 0.9767905]"
2762,コミュニケーション表現論１,"[0.36244458, 0, 0, 0, 0, 0.6126666]"
2763,グローバル社会動態発展演習Ａ,"[0, 0, 0, 0.97732973, 0, 0]"
2764,コミュニティとメディア１,"[0.016753795, 0.016800575, 0.016759949, 0.016809594, 0.9160145, 0.016861573]"
2765,臨床心理学１,"[0, 0, 0, 0.9619159, 0, 0]"
2766,臨床心理学１（臨床心理学概論１）,"[0, 0, 0, 0.961916, 0, 0]"
2767,数理科学入門（幾何系）,"[0, 0, 0, 0.9678142, 0, 0]"
2768,環境基礎科学実験Ｃ１（主に化学）,"[0.015187795, 0.92390674, 0.015190758, 0.015291551, 0.0152106285, 0.015212576]"
2769,環境応用科学実験Ｄ１（環境物理）,"[0, 0, 0, 0.98049337, 0, 0]"
2770,住環境論,"[0.010439839, 0.01042349, 0.9477066, 0.010525425, 0.010449434, 0.010455189]"
2771,発達障害と共生社会１,"[0.024050726, 0.023903118, 0.02392405, 0.879889, 0.024190102, 0.024043033]"
2772,乳児心理学演習,"[0.015196253, 0.01545148, 0.9234862, 0.015266545, 0.015341252, 0.015258265]"
2773,グローバル文化特別演習Ａ,"[0, 0, 0, 0.9601065, 0, 0]"
2774,グローバル文化特別演習Ａ,"[0.018555162, 0.9072131, 0.018556861, 0.018568002, 0.018565793, 0.018541103]"
2775,グローバル文化特別演習Ａ,"[0.16666667, 0.16666667, 0.16666667, 0.16666667, 0.16666667, 0.16666667]"
2776,グローバル文化特別演習Ａ,"[0, 0.98579645, 0, 0, 0, 0]"
2777,コミュニティとメディア１（高度教養科目）,"[0.016753796, 0.01680058, 0.016759953, 0.0168096, 0.91601324, 0.01686288]"
2778,グローバル共生社会論,"[0, 0, 0.7029446, 0, 0, 0.28965393]"
2779,音楽科教育論Ｄ２,"[0.023927877, 0.023877487, 0.023878586, 0.023941943, 0.880451, 0.0239231]"
2780,近現代経済思想論２,"[0, 0, 0, 0, 0, 0.9767901]"
2781,コミュニケーション表現論２,"[0.36244094, 0, 0, 0, 0, 0.61267024]"
2782,グローバル社会動態発展演習Ｂ,"[0, 0, 0, 0.97732943, 0, 0]"
2783,コミュニティとメディア２,"[0.03355428, 0.03349533, 0.033521235, 0.03364972, 0.8322019, 0.033577587]"
2784,臨床心理学２,"[0, 0, 0, 0.9619178, 0, 0]"
2785,臨床心理学２（臨床心理学概論２）,"[0, 0, 0, 0.9619178, 0, 0]"
2786,数理科学入門（解析系）,"[0.013893564, 0.013911958, 0.9304096, 0.013922529, 0.013958911, 0.013903424]"
2787,環境基礎科学実験Ｃ２（主に化学）,"[0.015187799, 0.9239025, 0.015190762, 0.015295773, 0.015210636, 0.015212582]"
2788,環境応用科学実験Ｄ２（環境物理）,"[0, 0, 0, 0.9804933, 0, 0]"
2789,発達障害と共生社会２,"[0.023914656, 0.024004677, 0.023937298, 0.8803201, 0.023880014, 0.023943271]"
2790,教育・保育実践演習（児童文学）,"[0.03344603, 0.033441577, 0.03362799, 0.033610597, 0.03352532, 0.83234847]"
2791,グローバル文化特別演習Ｂ,"[0, 0, 0, 0.96006215, 0, 0]"
2792,グローバル文化特別演習Ｂ,"[0.018555157, 0.9072132, 0.01855684, 0.01856787, 0.018565802, 0.018541103]"
2793,グローバル文化特別演習Ｂ,"[0.16666667, 0.16666667, 0.16666667, 0.16666667, 0.16666667, 0.16666667]"
2794,グローバル文化特別演習Ｂ,"[0, 0.9857952, 0, 0, 0, 0]"
2795,コミュニティとメディア２（高度教養科目）,"[0.033554208, 0.03349528, 0.03352117, 0.033642225, 0.83221096, 0.03357612]"
2796,国際コミュニケーション演習Ａ,"[0, 0, 0.2546644, 0, 0.73718727, 0]"
2797,国際コミュニケーション演習Ａ,"[0.01399825, 0.013898163, 0.013978389, 0.013897156, 0.013974407, 0.9302536]"
2798,博物館展示論１,"[0.9506551, 0, 0, 0, 0, 0]"
